2015-03-12 11:55:11 t: 1.770420e+002, dt: 1.834889e-001, dT_cpu: 9.380e-001 s, dT_avg: 7.128e-001 s, Nc:     0, Nce:   100, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:55:16 t: 1.802405e+002, dt: 4.215964e-001, dT_cpu: 4.840e-001 s, dT_avg: 7.117e-001 s, Nc:     0, Nce:   100, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:55:21 t: 1.866456e+002, dt: 4.598935e-001, dT_cpu: 4.850e-001 s, dT_avg: 7.090e-001 s, Nc:     0, Nce:   100, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:55:26 t: 1.890350e+002, dt: 2.385436e-001, dT_cpu: 4.840e-001 s, dT_avg: 7.097e-001 s, Nc:     0, Nce:   100, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:55:32 t: 1.915431e+002, dt: 8.520035e-002, dT_cpu: 5.000e-001 s, dT_avg: 7.104e-001 s, Nc:     0, Nce:   101, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:55:37 t: 1.940534e+002, dt: 1.191592e-001, dT_cpu: 9.680e-001 s, dT_avg: 7.106e-001 s, Nc:     0, Nce:   101, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:55:43 t: 1.947677e+002, dt: 1.347100e-001, dT_cpu: 5.000e-001 s, dT_avg: 7.099e-001 s, Nc:     0, Nce:   120, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:55:48 t: 1.986449e+002, dt: 4.416069e-001, dT_cpu: 5.000e-001 s, dT_avg: 7.091e-001 s, Nc:     0, Nce:   120, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:55:53 t: 1.995467e+002, dt: 3.967969e-002, dT_cpu: 5.000e-001 s, dT_avg: 7.115e-001 s, Nc:     0, Nce:   120, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:55:59 t: 2.013115e+002, dt: 2.543305e-001, dT_cpu: 4.850e-001 s, dT_avg: 7.093e-001 s, Nc:     0, Nce:   120, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
