2015-03-19 00:07:19 t: 8.715921e+002, dt: 3.114742e-001, dT_cpu: 3.440e-001 s, dT_avg: 3.084e-001 s, Nc:     0, Nce:   901, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:07:24 t: 8.797544e+002, dt: 3.441712e-001, dT_cpu: 2.340e-001 s, dT_avg: 3.077e-001 s, Nc:     0, Nce:   901, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:07:29 t: 9.409536e+002, dt: 6.004440e+000, dT_cpu: 2.180e-001 s, dT_avg: 3.051e-001 s, Nc:     0, Nce:   901, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:07:34 t: 9.759385e+002, dt: 1.788315e-001, dT_cpu: 4.060e-001 s, dT_avg: 3.065e-001 s, Nc:     0, Nce:   901, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:07:39 t: 9.826539e+002, dt: 1.570578e+000, dT_cpu: 2.030e-001 s, dT_avg: 3.046e-001 s, Nc:     0, Nce:   970, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:07:45 t: 1.016178e+003, dt: 2.687634e+000, dT_cpu: 2.350e-001 s, dT_avg: 3.041e-001 s, Nc:     0, Nce:   970, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:07:50 t: 1.053008e+003, dt: 3.510858e-001, dT_cpu: 2.340e-001 s, dT_avg: 3.043e-001 s, Nc:     0, Nce:   970, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:07:55 t: 1.083000e+003, dt: 1.403534e+000, dT_cpu: 3.600e-001 s, dT_avg: 3.027e-001 s, Nc:     0, Nce:   970, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:08:00 t: 1.086251e+003, dt: 2.398352e-002, dT_cpu: 3.590e-001 s, dT_avg: 3.044e-001 s, Nc:     0, Nce:  1001, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:08:05 t: 1.086350e+003, dt: 5.851570e-003, dT_cpu: 2.190e-001 s, dT_avg: 3.041e-001 s, Nc:     0, Nce:  1205, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:08:10 t: 1.095917e+003, dt: 2.596067e+000, dT_cpu: 2.350e-001 s, dT_avg: 3.020e-001 s, Nc:     0, Nce:  1292, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
